year,team,team_salary,avg_player_salary,median_player_salary,wins,cost_per_win,championship
2015,CIN,116732284.00,4323418.00,2350000.00,64,1823941.94,no
2015,CLE,85985667.00,3307141.00,2095000.00,81,1061551.44,no
2015,COL,98261171.00,3388316.00,1087600.00,68,1445017.22,no
2015,DET,172282250.00,6891290.00,3000000.00,74,2328138.51,no
2015,HOU,63564200.00,2354230.00,1000000.00,86,739118.60,no
2015,KCR,106164525.00,4246581.00,2640000.00,95,1117521.32,yes
2015,LAA,139449583.00,4980342.00,1231250.00,85,1640583.33,no
2015,LAD,183985260.00,6814269.00,4833333.00,92,1999839.78,no
2015,MIA,84816071.00,3141336.00,1925000.00,71,1194592.55,no
2015,MIL,86473611.00,3458944.00,525500.00,68,1271670.75,no
2015,MIN,103095000.00,4295625.00,1775000.00,83,1242108.43,no
2015,NYM,92130203.00,3543469.00,676848.00,90,1023668.92,no
2015,NYY,192687142.00,6881684.00,2900000.00,87,2214794.74,no
2015,OAK,69349166.00,2237070.00,517500.00,68,1019840.68,no
2015,PHI,107540000.00,3840714.00,700000.00,63,1706984.13,no
2015,PIT,84706665.00,3025238.00,1708333.00,98,864353.72,no
2015,SDP,121027794.00,4482511.00,1650000.00,74,1635510.73,no
2015,SEA,115706842.00,4628274.00,2000000.00,84,1377462.40,no
2015,SFG,142395943.00,5476767.00,4000000.00,76,1873630.83,no
2015,STL,103010290.00,4120412.00,1650000.00,100,1030102.90,no
2015,TBR,73691251.00,2456375.00,750000.00,80,921140.64,no
2015,TEX,112824040.00,3760801.00,812500.00,88,1282091.36,no
2015,TOR,98895700.00,3955828.00,527000.00,93,1063394.62,no
2015,WAS,165819309.00,5922118.00,3000000.00,83,1997823.00,no
2014,ARI,102350333.00,3936551.00,2250000.00,64,1599223.95,no
2014,ATL,83555673.00,2785189.00,1116429.00,79,1057666.75,no
2014,BAL,96638455.00,3332361.00,1000000.00,96,1006650.57,no
2014,BOS,143862395.00,5328237.00,2750000.00,71,2026230.92,no
2014,CHC,82683714.00,3062360.00,1775000.00,73,1132653.62,no
2014,CHW,88550982.00,3542039.00,2259815.00,73,1213027.15,no
2014,CIN,112878771.00,3319964.00,1150000.00,76,1485246.99,no
2014,CLE,71483300.00,2978471.00,987500.00,85,840980.00,no
2014,COL,95079071.00,3521447.00,1712500.00,66,1440591.98,no
2014,DET,172571526.00,6391538.00,2500000.00,90,1917461.40,no
2014,HOU,44985800.00,1606636.00,507600.00,70,642654.29,no
2014,KCR,84771000.00,3390840.00,1500000.00,89,952483.15,no
2014,LAA,128046500.00,4415397.00,900000.00,98,1306596.94,no
2014,LAD,208521260.00,7190388.00,3714285.00,94,2218311.28,no
2014,MIA,52836900.00,1887032.00,1000000.00,77,686193.51,no
2014,MIL,79014914.00,3160597.00,534000.00,82,963596.51,no
2014,MIN,80937500.00,3372396.00,967500.00,70,1156250.00,no
2014,NYM,78718636.00,3148745.00,1000000.00,79,996438.43,no
2014,NYY,205676092.00,8227044.00,3500000.00,84,2448524.90,no
2014,OAK,65815900.00,2269514.00,700000.00,88,747907.95,no
2014,PHI,152521056.00,5259347.00,1125000.00,73,2089329.53,no
2014,PIT,77340499.00,2974635.00,1600000.00,88,878869.31,no
2014,SDP,79422194.00,2836507.00,1290000.00,77,1031457.06,no
2014,SEA,82536142.00,3056894.00,750000.00,88,937910.70,no
2014,SFG,118714109.00,5161483.00,4000000.00,87,1364529.99,yes
2014,STL,90653693.00,3357544.00,535000.00,90,1007263.26,no
2014,TBR,82232623.00,2835608.00,1475000.00,77,1067956.14,no
2014,TEX,102585846.00,3537443.00,1000000.00,67,1531132.03,no
2014,TOR,111422600.00,4844461.00,3000000.00,83,1342440.96,no
2014,WAS,129700068.00,4803706.00,2700000.00,96,1351042.38,no
2013,ARI,75105500.00,3265457.00,1900000.00,81,927228.40,no
2013,ATL,73600692.00,3345486.00,1550000.00,96,766673.88,no
2013,BAL,81637464.00,3710794.00,1910000.00,85,960440.75,no
